layer,head,cluster,role,p1_box_iou,p1_entropy,p1_mass_in_box,p1_pointing,p1_topk_prec,p3_cond_kld,p5_head_entropy,p5_sink16,p5_sink_stability,p6_occluded_mass,p6_reroute_kld,p8_mass_when_correct
17,557,2,cond,0.136709,3.889332,0.317817,0.775000,0.150259,0.865674,0.558358,0.110535,0.920410,0.180643,2.430253,0.000000
17,558,1,unassigned,0.088614,4.154802,0.050327,0.007500,0.100819,0.064678,0.026360,0.724121,0.974609,0.197399,2.421740,0.000000
17,559,0,unassigned,0.101188,4.397031,0.114878,0.110000,0.113233,0.097491,0.006926,0.919922,0.989258,0.220490,2.903040,0.000000
17,560,3,grounding,0.156993,4.003466,0.346536,0.675000,0.169655,0.105669,0.030196,0.908203,0.982910,0.240794,2.102465,0.000000
17,561,1,unassigned,0.109302,4.196067,0.076036,0.010000,0.122802,0.090588,0.006110,0.900391,0.983398,0.127677,1.004104,0.000000
17,562,3,cond,0.156213,3.464348,0.502132,0.855000,0.169052,0.919242,0.076618,0.640625,0.974121,0.144572,2.227537,0.000000
17,563,1,unassigned,0.079552,4.294028,0.065604,0.040000,0.089655,0.060588,0.003430,0.877441,0.972168,0.233944,2.133452,0.000000
17,564,1,unassigned,0.061167,5.426057,0.037849,0.015000,0.071293,0.034969,0.018682,0.901855,0.981934,0.261336,1.537323,0.000000
17,565,1,unassigned,0.056722,4.885660,0.043702,0.010000,0.065388,0.050746,0.005432,0.726562,0.977051,0.189225,1.768423,0.000000
17,566,3,grounding,0.158874,2.234979,0.633910,0.862500,0.171466,0.473401,0.036428,0.966309,0.980957,0.179570,2.005099,0.000000
17,567,1,unassigned,0.092819,4.294072,0.061647,0.015000,0.105647,0.045476,0.041047,0.717285,0.973633,0.197733,1.512824,0.000000
17,568,1,unassigned,0.102830,4.599129,0.141195,0.232500,0.115690,0.099181,0.039069,0.704590,0.967773,0.148559,1.172388,0.000000
17,569,0,unassigned,0.110972,4.134265,0.174221,0.315000,0.124828,0.162355,0.010079,0.949707,0.967773,0.178113,2.375936,0.000000
17,570,0,reroute,0.106250,4.485711,0.072565,0.025000,0.119741,0.031383,0.014919,0.947754,0.966309,0.318713,3.402988,0.000000
17,571,0,reroute,0.116773,3.588345,0.410317,0.775000,0.130259,0.245793,0.031674,0.942383,0.964355,0.322327,2.768566,0.000000
17,572,1,unassigned,0.123791,4.194344,0.147905,0.085000,0.137026,0.334830,0.018327,0.710449,0.970703,0.206240,1.884099,0.000000
17,573,0,unassigned,0.096807,4.087789,0.038769,0.015000,0.109784,0.037226,0.054676,0.792969,0.971191,0.291078,2.328720,0.000000
17,574,3,cond,0.120714,3.552691,0.443639,0.825000,0.134353,0.572193,0.072441,0.653320,0.969238,0.210203,1.864447,0.000000
17,575,2,cond,0.146074,3.877215,0.364448,0.770000,0.159310,0.530141,0.196567,0.388916,0.936523,0.231324,1.762181,0.000000
18,576,1,unassigned,0.051453,4.334427,0.038281,0.010000,0.059267,0.067332,0.015428,0.875488,0.989258,0.138873,1.214381,0.000000
18,577,3,grounding,0.146213,2.510785,0.670158,0.917500,0.159612,0.162817,0.035751,0.750488,0.978027,0.300981,2.532489,0.000000
18,578,0,reroute,0.090395,2.802384,0.037120,0.012500,0.102672,0.057774,0.003542,0.976074,0.979980,0.213916,4.720078,0.000000
18,579,1,unassigned,0.076801,4.124734,0.088922,0.032500,0.089138,0.057268,0.006800,0.925781,0.993164,0.226311,2.310833,0.000000
18,580,1,unassigned,0.056470,4.457560,0.057850,0.032500,0.066078,0.067319,0.015682,0.694336,0.970215,0.127755,1.524511,0.000000
18,581,0,unassigned,0.063281,4.093314,0.034555,0.007500,0.072500,0.042668,0.010890,0.885254,0.973633,0.247360,3.321842,0.000000
18,582,1,unassigned,0.058003,2.656676,0.018781,0.012500,0.065172,0.057412,0.002362,0.843262,0.983398,0.216317,2.043504,0.000000
18,583,0,reroute,0.071038,3.209264,0.039769,0.010000,0.081034,0.082993,0.001766,0.950684,0.968750,0.209796,4.189957,0.000000
18,584,1,unassigned,0.090189,3.262389,0.054344,0.012500,0.103190,0.073264,0.009525,0.484375,0.969727,0.165496,2.523994,0.000000
