layer,head,cluster,role,p1_box_iou,p1_entropy,p1_mass_in_box,p1_pointing,p1_topk_prec,p3_cond_kld,p5_head_entropy,p5_sink16,p5_sink_stability,p6_occluded_mass,p6_reroute_kld,p8_mass_when_correct
5,142,0,reroute,0.176891,4.966123,0.130978,0.395000,0.189615,nan,0.218003,0.762207,0.985352,0.197033,0.436214,0.000000
5,143,0,unassigned,0.157376,4.584161,0.147209,0.272500,0.171635,nan,0.037976,0.836914,0.986328,0.094522,0.242398,0.000000
5,144,0,unassigned,0.150094,4.921502,0.109565,0.435000,0.163654,nan,0.484946,0.615723,0.985840,0.098707,0.212198,0.000000
5,145,1,sink,0.105412,4.901535,0.078983,0.095000,0.119615,nan,0.451455,0.951172,0.968750,0.102472,0.320610,0.000000
5,146,1,unassigned,0.167978,5.110183,0.105260,0.245000,0.181442,nan,0.577302,0.863281,0.972656,0.086267,0.130344,0.000000
5,147,2,unassigned,0.125065,4.671441,0.099956,0.245000,0.139327,nan,0.321315,0.294678,0.967285,0.114930,0.242724,0.000000
5,148,2,unassigned,0.142928,4.685807,0.120319,0.377500,0.156731,nan,1.574190,0.228149,0.979004,0.115232,0.279900,0.000000
5,149,2,unassigned,0.049453,4.214924,0.045436,0.007500,0.058750,nan,0.319560,0.807617,0.963379,0.108650,0.312265,0.000000
5,150,0,unassigned,0.169660,4.641415,0.149558,0.402500,0.182500,nan,0.337753,0.659180,0.976562,0.098111,0.158718,0.000000
5,151,1,unassigned,0.107153,4.902032,0.075336,0.165000,0.120577,nan,0.252113,0.884766,0.972168,0.116235,0.336533,0.000000
5,152,0,grounding,0.164763,4.516683,0.190176,0.642500,0.178173,nan,0.207805,0.900391,0.983887,0.097414,0.160722,0.000000
5,153,2,unassigned,0.050074,5.088848,0.038717,0.012500,0.059135,nan,1.004553,0.480225,0.973633,0.082857,0.138962,0.000000
5,154,1,unassigned,0.143504,4.772272,0.111699,0.175000,0.157404,nan,0.364157,0.820801,0.996094,0.108315,0.229079,0.000000
5,155,1,unassigned,0.058899,4.614998,0.072590,0.242500,0.069904,nan,0.461199,0.837891,0.984863,0.060412,0.130714,0.000000
5,156,2,unassigned,0.041454,4.715751,0.045975,0.082500,0.050192,nan,0.667744,0.394287,0.968750,0.055020,0.162701,0.000000
5,157,0,unassigned,0.143158,4.905348,0.128233,0.630000,0.157404,nan,0.948578,0.588379,0.978516,0.121772,0.277636,0.000000
5,158,1,unassigned,0.057203,4.222406,0.068998,0.102500,0.067788,nan,1.098834,0.934082,0.998047,0.108890,0.559208,0.000000
5,159,2,sink,0.090636,4.315319,0.103662,0.250000,0.104423,nan,1.166311,0.938477,0.970215,0.115999,0.372640,0.000000
5,160,0,reroute,0.091525,4.121682,0.178752,0.482500,0.105769,nan,1.284559,0.875977,0.985840,0.130615,0.568315,0.000000
5,161,1,sink,0.071163,4.765433,0.068583,0.177500,0.083269,nan,0.453827,0.972656,0.977051,0.067217,0.285362,0.000000
5,162,2,unassigned,0.102043,4.757784,0.080666,0.167500,0.115192,nan,0.300206,0.128174,0.973633,0.109121,0.281707,0.000000
5,163,0,reroute,0.181962,4.494834,0.198259,0.532500,0.194135,nan,0.108081,0.236816,0.968262,0.152709,0.540631,0.000000
5,164,1,unassigned,0.103550,4.809574,0.079085,0.117500,0.117019,nan,0.710549,0.617676,0.987793,0.130308,0.378614,0.000000
5,165,0,grounding,0.158949,4.261401,0.213220,0.690000,0.172500,nan,0.039841,0.342041,0.976074,0.079890,0.359965,0.000000
5,166,0,grounding,0.159214,4.427117,0.215682,0.830000,0.173077,nan,0.907186,0.936523,0.988281,0.110010,0.395472,0.000000
5,167,2,reroute,0.037854,4.563384,0.047027,0.110000,0.045192,nan,1.061200,0.032776,0.961914,0.161879,0.529845,0.000000
6,168,1,unassigned,0.055785,5.036920,0.045786,0.090000,0.065962,nan,0.040676,0.686523,0.987305,0.091274,0.105408,0.000000
6,169,1,unassigned,0.073471,4.072103,0.074844,0.107500,0.085096,nan,0.010458,0.699707,0.965820,0.063794,0.373728,0.000000
6,170,2,unassigned,0.024070,0.334419,0.085316,0.060000,0.026538,nan,0.021035,0.660156,0.973633,0.073386,0.521013,0.000000
6,171,1,unassigned,0.066825,4.449261,0.061389,0.067500,0.078173,nan,0.005285,0.832031,0.989746,0.049238,0.300215,0.000000
6,172,1,sink,0.096013,4.360441,0.083903,0.092500,0.109808,nan,0.027632,0.950684,0.969238,0.085458,0.154847,0.000000
6,173,1,sink,0.051624,5.093164,0.039218,0.042500,0.061346,nan,0.079530,0.933594,0.998047,0.078726,0.090177,0.000000
6,174,2,unassigned,0.019040,0.000000,0.000000,0.005000,0.020192,nan,0.020378,0.770020,0.979492,0.044911,0.685747,0.000000
6,175,0,reroute,0.083654,4.695818,0.086097,0.290000,0.095865,nan,0.477469,0.671875,0.970215,0.157242,0.416963,0.000000
6,176,0,grounding,0.174076,4.391658,0.196791,0.447500,0.186731,nan,0.227880,0.845703,0.986816,0.100943,0.237755,0.000000
6,177,2,reroute,0.087584,4.235746,0.104051,0.102500,0.101154,nan,1.772528,0.213867,0.974609,0.165523,0.502751,0.000000
6,178,2,unassigned,0.093103,4.826398,0.071132,0.055000,0.106635,nan,1.136309,0.282715,0.984375,0.074611,0.134655,0.000000
6,179,0,grounding,0.172742,4.654514,0.196405,0.735000,0.185865,nan,0.495344,0.803711,0.962402,0.104908,0.213803,0.000000
6,180,0,grounding,0.141508,4.752035,0.136624,0.555000,0.155865,nan,0.459281,0.827148,0.992676,0.079602,0.116622,0.000000
6,181,0,reroute,0.123382,4.767920,0.108341,0.415000,0.137019,nan,0.908801,0.475342,0.969238,0.154222,0.319307,0.000000
6,182,1,unassigned,0.107806,4.657032,0.080360,0.130000,0.122212,nan,0.198345,0.725098,0.975098,0.070057,0.076063,0.000000
6,183,0,unassigned,0.126235,5.270450,0.066951,0.367500,0.140962,nan,0.112806,0.369873,0.979492,0.070739,0.042503,0.000000
6,184,0,unassigned,0.105267,4.640077,0.150297,0.690000,0.120673,nan,0.067917,0.294434,0.965332,0.074417,0.094221,0.000000
6,185,2,unassigned,0.104930,4.969773,0.064943,0.017500,0.118846,nan,1.730841,0.550781,0.969727,0.082287,0.098191,0.000000
6,186,0,sink,0.142719,4.578668,0.117194,0.245000,0.157308,nan,0.448062,0.888184,0.974121,0.094761,0.089006,0.000000
6,187,1,unassigned,0.133829,5.393921,0.052843,0.152500,0.148365,nan,0.159478,0.508301,0.979980,0.076428,0.031019,0.000000
6,188,0,unassigned,0.124231,5.323015,0.058621,0.220000,0.137981,nan,0.132771,0.167358,0.972656,0.079294,0.037159,0.000000
6,189,1,sink,0.078896,3.809576,0.054111,0.032500,0.091538,nan,0.012454,0.969238,0.976074,0.079827,0.155342,0.000000
6,190,1,unassigned,0.067659,4.353792,0.055464,0.040000,0.078846,nan,0.109662,0.402588,0.973145,0.027242,0.064976,0.000000
